method,split,alpha,target_coverage,n_examples,q_hat,probability_threshold,empirical_coverage,avg_set_size,singleton_rate,empty_rate,full_set_rate
lac,calibration,0.1,0.9,454,0.945091568,0.05490843199999995,0.9052863436123348,1.2885462555066078,0.711453744493392,0.0,0.28854625550660795
lac,test,0.1,0.9,715,0.945091568,0.05490843199999995,0.8923076923076924,1.283916083916084,0.7160839160839161,0.0,0.2839160839160839
lac,calibration,0.05,0.95,454,0.978802262,0.02119773800000002,0.9537444933920705,1.513215859030837,0.486784140969163,0.0,0.513215859030837
lac,test,0.05,0.95,715,0.978802262,0.02119773800000002,0.9482517482517483,1.5216783216783216,0.4783216783216783,0.0,0.5216783216783217
