model_name,split,n_examples,accuracy,precision,recall,f1,macro_f1
distilbert,validation,568,0.8380281690140845,0.840625,0.867741935483871,0.8539682539682539,0.8360750360750361
distilbert,calibration,454,0.7929515418502202,0.7591240875912408,0.8813559322033898,0.8156862745098039,0.7897526849935954
distilbert,test,715,0.7958041958041958,0.7699757869249395,0.8617886178861789,0.8132992327365729,0.7939952953806322
